t_real_s1,t_real_s2,pitch1_media,pitch1_std,pitch1_min,pitch1_max,pitch1_mediana,pitch1_rango,pitch1_cambio_abs,yaw1_media,yaw1_std,yaw1_min,yaw1_max,yaw1_mediana,yaw1_rango,yaw1_cambio_abs,roll1_media,roll1_std,roll1_min,roll1_max,roll1_mediana,roll1_rango,roll1_cambio_abs,pitch2_media,pitch2_std,pitch2_min,pitch2_max,pitch2_mediana,pitch2_rango,pitch2_cambio_abs,yaw2_media,yaw2_std,yaw2_min,yaw2_max,yaw2_mediana,yaw2_rango,yaw2_cambio_abs,roll2_media,roll2_std,roll2_min,roll2_max,roll2_mediana,roll2_rango,roll2_cambio_abs,f1_media,f1_std,f1_min,f1_max,f1_mediana,f1_rango,f1_cambio_abs,f2_media,f2_std,f2_min,f2_max,f2_mediana,f2_rango,f2_cambio_abs,f3_media,f3_std,f3_min,f3_max,f3_mediana,f3_rango,f3_cambio_abs,f4_media,f4_std,f4_min,f4_max,f4_mediana,f4_rango,f4_cambio_abs,f5_media,f5_std,f5_min,f5_max,f5_mediana,f5_rango,f5_cambio_abs,pitch3_media,pitch3_std,pitch3_min,pitch3_max,pitch3_mediana,pitch3_rango,pitch3_cambio_abs,movimiento
880,880,-0.44639189750979297,0.339894004354365,-1.100103183167756,0.28544109165502474,-0.44006594352376316,1.3855442748227806,0.027201974386249293,0.07449380894805023,1.0314163955398663,-1.8439720092317078,1.3053249663858946,0.5454007207455677,3.1492969756176024,0.04055036512626462,0.25897080903539776,0.7751828292798988,-0.8891766172335125,2.1154144146065335,0.02050328547423047,3.0045910318400457,0.031772594314763994,-0.19457302817921793,0.5268299600898894,-0.8994450754919789,0.6485213313222008,-0.31595514138839664,1.5479664068141799,0.02044997619534748,-0.5382816012000523,0.9536215354173807,-1.8349475660714742,1.7658850640936838,-0.7129302544084798,3.600832630165158,0.031137505877970963,0.14250005511131275,0.8830742193031812,-0.8910486341627798,2.081949687844453,-0.07776369467381244,2.9729983220072325,0.040274274265717495,-0.4608826346119946,0.023140291737946312,-0.4839706121344051,-0.3956340024834428,-0.439802307308924,0.0883366096509623,0.011456625142445614,-0.3901775520775152,0.12129900551374986,-0.5239264086937444,0.12730373049261645,-0.4370957234688963,0.6512301391863609,0.008692946871202086,-0.6450565433315854,0.0064238244565760355,-0.6455207477558573,-0.5433957744159789,-0.6455207477558573,0.10212497333987847,0.00023236626470962108,-0.12305517510668164,0.18018321676733776,-0.3824187526077256,0.633701432302025,-0.1404853752482612,1.0161201849097505,0.010403960937642497,-0.5760546607326004,0.005220555536612909,-0.576585336061069,-0.5246970817219044,-0.576585336061069,0.05188825433916455,0.00011806201214826974,0.00531680356466718,0.7747501085950674,-1.9297992118566947,1.7539925995415655,-0.05981409305866715,3.68379181139826,0.06349258533692757,10
682,680,1.3302044092338616,0.2204209808638184,0.7635612877838878,1.544546029314879,1.4458836830730255,0.7809847415309912,0.012556446513363406,-0.4907374326352928,0.6265458137593201,-1.428173165518137,1.5358697459685973,-0.4382570054739631,2.964042911486734,0.03763545679293079,-0.4031316320429899,0.6350380033791461,-1.3822229184814279,1.6662091015357685,-0.348931207003524,3.0484320200171964,0.03801907165072731,-2.3602867907766205,0.17816553299596513,-2.6628385531484016,-1.4213617967092365,-2.3783228050576453,1.241476756439165,0.010829157101515169,-0.15384165600865932,0.6132967549574998,-1.2344785588121405,2.7864137102120643,-0.2510090597581159,4.020892269024205,0.029830580760149477,0.15376949524559871,0.6244170246330645,-3.2016500772315974,1.1111198616041726,0.23668599938643203,4.31276993883577,0.03246534313560567,0.23883070565670392,0.02205509531100848,0.2227222650732931,0.31105887472425536,0.2227222650732931,0.08833660965096227,0.004228188238079933,0.3559365862206908,0.08335862264680355,0.21413441571746458,0.7785338696789773,0.34438044355473674,0.5643994539615127,0.017903234066978992,-0.1060605944663819,0.05799428068000559,-0.23702085439634363,0.01829157895335242,-0.083833394386526,0.25531243334969606,0.0024816819736494756,3.0527505783938937,0.0037001575360859286,3.0046485304247765,3.0530352058966694,3.0530352058966694,0.048386675471892904,0.0005700933781666322,1.1361848946696484,0.09217732603192606,0.8243975310963741,1.3951683288271843,1.1357270571313616,0.5707707977308102,0.007106933215820772,0.6334460892618233,0.10617320048323878,0.17542573647418278,1.0192749567104336,0.6322126371712131,0.8438492202362508,0.006579405524827308,16
522,522,-0.24527728931265266,0.01685327426412267,-0.2821502541775059,-0.20351022404580832,-0.24595753419933852,0.07864003013169757,0.0010916227988132094,0.049811230560594784,0.01634175625203241,0.012792522043427814,0.07997669857793624,0.05121665197387824,0.06718417653450842,0.0017493036277150724,0.09184766429851035,0.05940339731371355,-0.08421651852222424,0.21986853105237178,0.10235490484820539,0.30408504957459603,0.006531298414190249,0.6893724492765331,0.01448509626549532,0.6510305463280531,0.7143943155535052,0.6965374747837026,0.06336376922545206,0.0009220358664331017,0.005941166613737626,0.04555206175946064,-0.06124674848748579,0.11153921584972185,-0.0026103454296112507,0.17278596433720764,0.002532991333700763,0.034794152648257706,0.02673855929107232,-0.02604527572944873,0.08865696034517975,0.03324741661642042,0.11470223607462848,0.0016185860448276604,-0.07570994013642333,0.1289616080590202,-0.3514656976579617,0.2227222650732931,-0.04228756387959373,0.5741879627312548,0.019074603811388206,-0.2508755087002804,0.33654774721819525,-0.5673417513061685,0.3877957861671608,-0.3936803808564722,0.9551375374733293,0.03316565520104564,-0.2388794506544449,0.3938597714799955,-0.6455207477558573,0.4267914723128661,-0.33914582773622204,1.0723122200687234,0.03881141021361982,0.7607859765011918,0.7677237861017373,-0.28564540166393987,1.7949816436274542,0.8030547964536501,2.080627045291394,0.07671284825294343,0.1731104766323776,0.6601215012843671,-0.576585336061069,1.1357270571313616,0.14985022468723486,1.7123123931924304,0.06383948374549805,-0.3731060267202176,1.7350587801279738,-1.9285677432239712,1.7544617304492667,-1.7819643345658278,3.683029473673238,0.149532662946299,6
765,757,0.23279345524603065,0.1424033310946776,0.04034251730340339,0.5310227441096212,0.1792147593271125,0.49068022680621787,0.00798187060927871,0.029571900724735443,0.10828816943301259,-0.21131690685739785,0.23621639812247275,0.03419946176870897,0.4475333049798706,0.00659646312090877,0.01001349043155636,0.1407955972306921,-0.23061410404235155,0.46445509667226365,0.008595347896038299,0.6950692007146152,0.007536895662267383,1.188276104847386,0.10105720203242481,1.0068274896336007,1.4087160328524722,1.1635925242225218,0.40188854321887146,0.005910328208836154,0.2588785818432223,0.48924807939195925,-1.4915249671769581,1.2844351933962672,0.1780676891931637,2.7759601605732254,0.030997541248163143,0.2519404730618682,0.5101072519910296,-1.0494042882077745,1.504939406519629,0.24816475738645993,2.554343694727404,0.035397286817326616,-0.484087305145833,0.0022672704383988164,-0.5281389169598862,-0.4839706121344051,-0.4839706121344051,0.04416830482548112,0.00023369473452635513,-0.5673417513061683,2.220446049250313e-16,-0.5673417513061685,-0.5673417513061685,-0.5673417513061685,0.0,0.0,-0.5199893241194545,0.02544267361684309,-0.5433957744159789,-0.4923332877460397,-0.5433957744159789,0.05106248666993918,0.01127967628820085,-0.8179627508448172,0.00175748166164237,-0.8662855073266545,-0.8178988318547616,-0.8178988318547616,0.048386675471892904,0.00012800707796797064,-0.42510179301013945,0.014123512476161077,-0.4728088273827398,-0.4209205730435753,-0.4209205730435753,0.05188825433916455,0.0035003981101817353,-0.13051330607171327,0.01893775437690426,-0.16920955659937068,-0.08529376548345177,-0.13349696625024798,0.0839157911159189,0.0011344311384260764,13
677,645,0.4923948981316123,0.7449054986262554,-1.6863565988731175,1.1391926505920678,0.7821979324934043,2.825549249465185,0.06338587242271584,0.4204831773395608,1.0516309754303246,-1.3260700242871215,3.5091561423392967,0.05381511831449863,4.835226166626418,0.07785313321586541,0.31740363450638437,0.4716972203861374,-0.6752251782204922,1.7476898854834333,0.20835203086861845,2.4229150637039254,0.03573469276804077,-1.7150590601318136,0.3324617362737779,-2.52824231132963,-1.177724328034209,-1.661125816977172,1.3505179832954213,0.02572176020626779,0.08357654851496674,0.78295619516662,-1.8661464311578233,2.3799217155886314,-0.03303679512630903,4.246068146746454,0.07714610482803394,0.19264891193642292,0.45360814124726645,-0.7143013641400449,1.664105827858306,0.10709124828574504,2.3784071919983507,0.05168174378104783,-0.4823956183189228,0.01016754067135435,-0.4839706121344051,-0.3956340024834428,-0.4839706121344051,0.0883366096509623,0.0009601805396843725,-0.28901238432574444,0.29645574336884983,-0.8278338069807127,0.0838883878801924,-0.13318832518192789,0.9117221948609051,0.03168511029167593,-0.19458753214039415,0.3845136628303104,-0.6455207477558573,0.3757289856429269,-0.083833394386526,1.0212497333987842,0.032191567683222545,-0.10365148740841718,0.40674281952407665,-0.62435212996719,0.44015473041445347,0.004674651167417459,1.0645068603816434,0.04034727442299143,-0.5156870282552588,0.1485509571591997,-0.9398031164352209,-0.16147930134775249,-0.5246970817219044,0.7783238150874684,0.029408715580427118,-0.44594324212565867,0.8317162887662818,-1.7970938063393525,1.7407982927623262,-0.6104271752969064,3.5378920991016787,0.11546220397663429,11
880,880,1.324551914513206,0.7591544931120666,-0.1325485932350847,2.1273416228094706,1.675218656169667,2.259890216044555,0.06585629272729585,0.4106605155832997,0.9824754801796789,-2.402211037625584,4.949237245614693,0.08279631099009879,7.351448283240277,0.07253674170705293,0.4952370357133772,0.8471362324091349,-1.905224481387979,4.2972452472723885,0.2752981263017248,6.202469728660367,0.060242264223857034,-0.18611251106030202,0.21669155845913632,-0.70172867755512,0.052619309398407935,-0.1063017011906875,0.754347986953528,0.019093198075777643,0.02057142798695619,0.2536130021757734,-0.46411174910733866,0.6540434856073996,0.023198403568084388,1.118155234714738,0.023500194746491534,0.13534517921716727,0.15431415044920588,-0.6045064037903355,0.4197487199073235,0.139372588163147,1.024255123697659,0.0159218851054094,-0.6330386409204039,0.02138288862741266,-0.6606438314363297,-0.6164755266108485,-0.6164755266108485,0.044168304825481175,0.02125505454058992,-0.5336455251649347,0.018096893283274358,-0.5673417513061685,-0.5239264086937444,-0.5239264086937444,0.04341534261242408,0.013483945999080517,-0.49268144106424383,0.004201947576650258,-0.5433957744159789,-0.4923332877460397,-0.4923332877460397,0.05106248666993918,0.0006970987941288624,-0.6719690174202121,0.006054329810744226,-0.6727388054390829,-0.62435212996719,-0.6727388054390829,0.048386675471892904,0.0013211378968434923,-0.5300627989319772,0.015799581580846194,-0.576585336061069,-0.5246970817219044,-0.5246970817219044,0.05188825433916455,0.008618526886823692,-0.05789438806020187,0.00015696384658608526,-0.05837737965381741,-0.057439117838405336,-0.05790824874611132,0.0009382618154120739,3.5424987484628036e-05,15
880,880,-0.5271566045276502,0.9183102524600043,-2.0393849914947215,1.4333872153039566,-0.7955224392419002,3.472772206798678,0.10817310729004875,0.42868062835314813,0.8334357788160563,-0.8528616604012059,2.9271660258617924,0.2148315730043458,3.7800276862629985,0.05774388095628068,0.13008932116525873,0.9149385207983777,-2.003969714627209,1.487404620149731,0.4179255516543622,3.49137433477694,0.05968108911248351,-0.27985466867423536,1.0080672876334436,-1.5574197171721935,1.327032557953225,-0.6582680992013306,2.8844522751254185,0.0709172167234361,0.036434107632789536,0.49163432904081356,-1.1260717380384757,0.8116833916518802,0.11783608043927021,1.937755129690356,0.04008288376987432,0.26095650258810477,0.4844235104605955,-0.8997110426163325,1.0149799293585855,0.3008646314758075,1.914690971974918,0.04083794225248144,-0.4775963226880004,0.03364652712270905,-0.4839706121344051,-0.130624173530556,-0.4839706121344051,0.3533464386038491,0.0023114243708442913,-0.7937922315232439,0.030099578421489935,-0.8712491495931368,-0.6975877791434406,-0.7844184643682888,0.1736613704496962,0.007853287230233694,-0.6455207477558575,2.220446049250313e-16,-0.6455207477558573,-0.6455207477558573,-0.6455207477558573,0.0,0.0,-0.62435212996719,0.0,-0.62435212996719,-0.62435212996719,-0.62435212996719,0.0,0.0,-0.43654601327071013,0.08642299317366238,-0.6803618447393981,-0.2652558100260816,-0.4209205730435753,0.4151060347133165,0.013222945360606213,-0.21940962906791675,0.6936425379090422,-1.9100957137330465,1.6293210608186768,-0.3279810481761354,3.5394167745517233,0.09571277894436883,9
782,780,-1.1523896413680326,0.5606457810651987,-1.7517755440812839,-0.06357012516289086,-1.373360125890168,1.688205418918393,0.024679727476359287,-0.5665550685564403,0.8321627469721737,-2.17805737951045,1.122790998934995,-0.640893150828045,3.300848378445445,0.0348213885937499,0.7592038453885058,0.9210996561753917,-1.0934657331943318,2.6132815763964854,0.8075293709297813,3.706747309590817,0.03761634487465472,-2.0532941037544945,0.2812415947519922,-2.703619387321184,-1.5492586780754896,-2.0420636329627144,1.1543607092456942,0.01165231749208955,0.47091309868780235,0.4309266550882233,-0.28813537337809314,1.4409668512729874,0.4572790609131917,1.7291022246510805,0.02158471655523513,-0.08754010328219913,0.20007272009482086,-0.792945791627225,0.3912865207027933,-0.07612082410503522,1.1842323123300182,0.016203216327234083,1.8645374318809853,0.022308356887245858,1.8127812387906141,1.9011178484415763,1.8569495436160952,0.08833660965096213,0.011453141944476476,-0.5232584803458609,0.005343426783067579,-0.5239264086937444,-0.4805110660813203,-0.5239264086937444,0.04341534261242408,0.0012261072368078688,-0.24454929794383468,0.018103689846033923,-0.28808334106628286,-0.23702085439634363,-0.23702085439634363,0.05106248666993923,0.008914631819142151,-0.5760895228939432,0.0024470113146556997,-0.62435212996719,-0.5759654544952972,-0.5759654544952972,0.04838667547189279,0.00024845532976581667,-0.2660540908620687,0.007388591190202523,-0.31714406436524617,-0.21336755568691704,-0.2652558100260816,0.10377650867832913,0.00173182877126865,-0.05595902486083979,0.00026777663719938853,-0.05673542147684626,-0.055210746026801656,-0.0559730837518239,0.001524675450044602,5.2318032871583205e-05,10
841,880,-0.8742236439490639,0.8950719513243867,-1.5953599393705808,1.8898705974521943,-1.3483799029336878,3.485230536822775,0.04002005456244092,0.3523053060161417,0.4496019092582433,-1.6398762998054477,1.7513323634721243,0.22232842482962506,3.391208663277572,0.03461607355923425,0.2569116046568469,0.3102144726009027,-0.6795515915274478,0.9821413518016978,0.24557978727656524,1.6616929433291456,0.0297488986112166,0.6439939222121529,0.1804766799686448,0.18051619076466086,1.1239810329650883,0.6232586520885238,0.9434648422004275,0.013914716667681912,0.3414399133467504,1.8330602061491783,-2.482164496043615,5.401073387459419,-0.0022409293736910785,7.883237883503034,0.08981491827707389,0.5714546512887709,1.7108977867490203,-1.8835558175183538,5.800640560225245,-0.021180671967355114,7.684196377743599,0.09309335729967771,-0.3765111341442288,0.07770992320946794,-0.4839706121344051,-0.17479247835603715,-0.3956340024834428,0.309178133778368,0.009848677754032198,0.6331418075439618,0.5318921104491773,-0.3068496956316241,1.1692719531907938,0.9521952401286735,1.476121648822418,0.02425134610091037,0.18436071173672292,0.4499455535716388,-0.5944582610859181,0.8352913656723798,0.4778539589828053,1.4297496267582979,0.021377696353285132,1.1747524398513727,0.6701576568419085,-0.09209869977636831,3.6820619870312767,1.6014349417398828,3.774160686807645,0.04117546445162216,-0.0072886364648941685,0.22383885789716895,-0.576585336061069,0.4092914963830577,0.0979619703480703,0.9858768324441267,0.017355115785795655,-0.34605171751690283,0.9028312960057787,-1.9181295805275103,1.7356378527775609,-0.5714599892755727,3.653767433305071,0.07279781557111968,11
801,782,-0.4164934842446601,0.16593862313617397,-0.7353283650948607,-0.06875685847904552,-0.4321587177329588,0.6665715066158151,0.008691051794335767,0.01039735271876257,0.057529032745367366,-0.137741608855321,0.12113198249193236,0.022080657048198567,0.25887359134725335,0.0034290356988148584,0.2420451222653591,0.20520422178315348,-0.3446665996009534,0.787267335275539,0.1924885154097811,1.1319339348764925,0.007246278744867799,0.3718277841722005,0.0350093389284245,0.30229838313607016,0.44110913171224314,0.37241023543551316,0.13881074857617298,0.0018779525413944798,-0.01592601026492064,0.09569091662164313,-0.22661080842847908,0.1893516705376344,-0.01167783043856092,0.4159624789661135,0.005027878458365329,-0.14797617427071413,0.2644239681578375,-0.776090366311199,0.31904288763942046,-0.1223132238635119,1.0951332539506193,0.010285063179941377,-0.25115507186505315,0.20071221786401797,-0.4839706121344051,0.17855396024781195,-0.17479247835603715,0.6625245723822171,0.011650026624902835,-0.6691623885838995,0.09708930889015781,-0.8278338069807127,-0.35026503824404814,-0.6975877791434406,0.4775687687366646,0.009616970898782795,-0.6455207477558574,1.1102230246251565e-16,-0.6455207477558573,-0.6455207477558573,-0.6455207477558573,0.0,0.0,-0.612410149959421,0.03307402661107363,-0.62435212996719,-0.4308054280796185,-0.62435212996719,0.1935467018875715,0.002354281264957655,-0.6619156366750915,0.28194854451543855,-0.9916913707743854,0.20173847902639944,-0.7322500990785626,1.193429849800785,0.019599276606982772,-0.3064825394166504,0.4559819346257238,-0.8808811435894419,0.45526232292083907,-0.41204344270071247,1.336143466510281,0.024483032043312744,12
